event,classification,gender,world_record,world_record_display,paralympics_gold,paralympics_bronze,paralympics_8th_place,paralympics_semi_qualifying,paralympics_heat_qualifying,wc_gold,wc_bronze,wc_8th_place,wc_semi_qualifying,wc_heat_qualifying,asian_gold,asian_bronze,asian_8th_place,saudi_best,saudi_best_athlete,saudi_world_rank,gap_to_para_gold,gap_to_para_bronze,gap_to_para_8th,gap_to_world_record,yearly_trend,total_results
100m,F45,W,,,,12.54,,,,12.54,,,,12.54,,,,,,,,,,,-0.13999999999999968,4
100m,F35,W,,,,,,,,,16.89,18.91,,19.08,,,,,,,,,,,0.34999999999999964,4
100m,F36,W,,,,,,,,,14.989999999999998,,,16.04,,,,18.9,Sarah Aljumaah,,,,,,0.019999999999999574,5
400m,T54,W,,,52.99666666666667,54.739999999999995,,,,53.115,55.19,58.315,,59.9,,,,,,,,,,,-0.04999999999999982,58
400m,T53,W,,,51.6,54.85666666666666,,,,53.73199999999999,55.76,,,57.87,,,,,,,,,,,0.11000000000000032,40
400m,T12,W,,,55.365833333333335,53.89,,,56.53,57.69199999999999,58.24,,,59.26,,,,,,,,,,,-0.0600000000000005,47
400m,T11,W,,,57.87142857142857,59.72,,,56.31,58.129999999999995,58.37,,,59.87,,,,,,,,,,,0.08999999999999986,40
400m,T13,W,,,55.49333333333334,57.32,58.96,,55.71,57.22666666666667,58.266,,,59.3,,,,,,,,,,,-0.20500000000000007,48
400m,T34,W,,,,,,,,55.62,,,,,,,,,,,,,,,0.09999999999999964,4
400m,T47,W,,,57.6575,58.623333333333335,,,57.59,57.944,58.35,,,59.85,,,,,,,,,,,0.054999999999999716,26
400m,T36,W,,,59.88,,,,,59.4,,,,,,,,,,,,,,,0.1200000000000001,24
400m,T20,W,,,55.45,55.82,59.37,,,57.04,59.25666666666667,,,59.92,,,,,,,,,,,-0.15000000000000213,41
400m,T38,W,,,59.88,,,,,59.4,,,,,,,,,,,,,,,0.03500000000000014,35
400m,T46,W,,,,,59.47,,,,,59.13,,59.64,,,,,,,,,,,53.83,13
400m,T51,W,,,,55.09,,,,54.57,58.0,,,,,,,,,,,,,,-0.4150000000000009,9
400m,T45,W,,,57.56,59.14,,,,57.745000000000005,58.35,,,59.85,,,,,,,,,,,0.054999999999999716,23
400m,F12,W,,,,,,,,,,,,,,,,,,,,,,,0.29499999999999993,3
Shot Put,T20,W,,,,,,,,,,,,,,,,,,,,,,,-0.15000000000000213,3
Shot Put,F57,W,,,11.56,10.74,9.1,,,11.645,10.33,,,,,,,6.02,Nadha Alhumaydani,,-5.540000000000001,-4.720000000000001,-3.08,,0.6600000000000001,26
Shot Put,F55,W,,,11.56,10.74,9.1,,,11.62,10.31,9.17,,,,,,6.27,Nadha Alhumaydani,,-5.290000000000001,-4.470000000000001,-2.83,,0.19500000000000028,17
Shot Put,F32,W,,,8.0,7.72,5.81,,,8.115,6.755,5.045,,,,,,3.56,Rawan Alhamoudi,,-4.4399999999999995,-4.16,-2.2499999999999996,,0.75,32
Shot Put,F37,W,,,13.45,12.86,9.81,,,13.675,12.555,9.17,,,,,,4.95,Amal Alahmari,,-8.5,-7.909999999999999,-4.86,,0.7400000000000002,22
Shot Put,F34,W,,,9.14,7.8,6.72,,,9.129999999999999,7.654999999999999,6.140000000000001,,,,,,6.73,Hadeel Al Thwai,,-2.41,-1.0699999999999994,0.010000000000000675,,-0.08999999999999986,25
Shot Put,F40,W,,,9.75,8.66,7.64,,,9.47,8.594999999999999,6.875,,,,,,,,,,,,,0.10500000000000043,41
Shot Put,F33,W,,,8.56,7.77,6.35,,,8.34,7.433333333333333,,,,,,,4.55,Alhanuf Abuhaimd,,-4.010000000000001,-3.2199999999999998,-1.7999999999999998,,0.46999999999999975,31
Shot Put,F46,W,,,,11.88,10.66,,,13.12,11.72,9.82,,,,,,,,,,,,,0.07499999999999929,23
Shot Put,F54,W,,,8.06,7.75,,,,8.004999999999999,7.325,5.33,,,,,,,,,,,,,-0.11000000000000032,18
Shot Put,F41,W,,,10.4,9.58,8.1,,,10.15,9.21,7.57,,,,,,,,,,,,,0.17499999999999982,19
Shot Put,F56,W,,,,,9.1,,,,,,,,,,,6.87,Nadha Alhumaydani,,,,-2.2299999999999995,,-0.2549999999999999,5
Shot Put,F31,W,,,,7.72,5.81,,,7.74,5.93,4.7,,,,,,,,,,,,,-2.885,15
Shot Put,F42,W,,,,11.77,10.34,,,,11.26,9.49,,,,,,,,,,,,,0.33000000000000007,15
Shot Put,F12,W,,,,12.63,,,,13.05,12.78,,,,,,,,,,,,,,0.29499999999999993,10
Shot Put,F44,W,,,,11.77,10.34,,,12.5,11.26,9.49,,,,,,,,,,,,,-0.015000000000000568,15
Shot Put,F11,W,,,15.14,,,,,15.55,11.0,,,,,,,,,,,,,,-0.03500000000000014,12
Shot Put,F45,W,,,,,10.66,,,,11.72,9.82,,,,,,,,,,,,,-0.13999999999999968,16
Shot Put,F52,W,,,,7.75,,,,,7.48,5.33,,,,,,,,,,,,,0.21499999999999986,10
Shot Put,F53,W,,,8.06,7.75,,,,8.04,7.48,5.33,,,,,,,,,,,,,0.28000000000000025,15
Shot Put,F20,W,,,13.94,,12.92,,,15.74,13.01,11.735,,,,,,,,,,,,,0.16499999999999915,25
Shot Put,F35,W,,,12.75,9.44,7.94,,,12.05,9.05,,,,,,,,,,,,,,0.34999999999999964,18
Shot Put,F36,W,,,,,,,,9.62,7.51,,,,,,,7.76,Sarah Aljumaah,,,,,,0.019999999999999574,4
Shot Put,F64,W,,,,,,,,,,,,,,,,,,,,,,,-1.0700000000000003,4
Shot Put,F43,W,,,,,10.34,,,,,,,,,,,,,,,,,,1.5350000000000001,4
Long Jump,T12,W,,,6.11,5.3,4.75,,,5.51,5.08,,,,,,,,,,,,,,-0.0600000000000005,27
Long Jump,T11,W,,,5.24,4.76,4.05,,,4.99,4.615,,,,,,,,,,,,,,0.08999999999999986,24
Long Jump,T64,W,,,,5.58,4.88,,,,5.3149999999999995,4.89,,,,,,,,,,,,,0.009999999999999787,20
Long Jump,T37,W,,,,4.59,3.62,,,5.42,4.46,,,,,,,,,,,,,,0.004999999999999893,14
Long Jump,T44,W,,,,5.38,,,,,,,,,,,,,,,,,,,0.009999999999999787,8
Long Jump,T47,W,,,5.6899999999999995,5.57,,,,,5.655,,,,,,,,,,,,,,0.054999999999999716,14
Long Jump,T36,W,,,,4.99,4.35,,,,4.97,,,,,,,,,,,,,,0.1200000000000001,9
Long Jump,T20,W,,,5.91,,5.22,,,5.8,5.43,5.01,,,,,,,,,,,,,-0.15000000000000213,29
Long Jump,T38,W,,,5.56,4.99,4.35,,,5.63,4.97,,,,,,,,,,,,,,0.03500000000000014,19
Long Jump,T46,W,,,6.05,5.63,5.15,,,6.17,,5.05,,,,,,,,,,,,,53.83,11
Long Jump,T45,W,,,6.05,,,,,6.17,5.66,,,,,,,,,,,,,,0.054999999999999716,10
Long Jump,T43,W,,,6.53,5.38,4.88,,,6.53,5.25,,,,,,,,,,,,,,0.26500000000000057,15
Long Jump,F37,W,,,,,,,,,,,,,,,,,,,,,,,0.7400000000000002,3
Long Jump,T63,W,,,,4.83,4.37,,,,4.75,3.89,,,,,,,,,,,,,0.01499999999999968,18
Long Jump,T62,W,,,6.345000000000001,,,,,6.54,,,,,,,,,,,,,,,0.07500000000000018,9
Long Jump,T42,W,,,5.45,,,,,5.29,4.66,,,,,,,,,,,,,,-0.23499999999999943,9
Long Jump,F12,W,,,,5.3,,,,5.48,,,,,,,,,,,,,,,0.29499999999999993,6
200m,T12,W,,,24.563571428571432,26.151999999999997,,,25.12,25.114444444444448,27.06142857142857,,,30.28,,,,,,,,,,,-0.0600000000000005,69
200m,T11,W,,,24.785,25.4375,,,,25.613333333333333,27.419999999999998,,,28.58,,,,,,,,,,,0.08999999999999986,31
200m,T13,W,,,,,,,,24.89,26.87,,,,,,,,,,,,,,-0.20500000000000007,4
200m,T64,W,,,26.03,27.47,29.37,,,25.945,27.605,,,,,,,,,,,,,,0.009999999999999787,26
200m,T37,W,,,25.86,27.55,33.04,,,25.75,28.03,32.68,,29.04,,,,,,,,,,,0.004999999999999893,19
200m,T44,W,,,26.36,27.32,,,,26.52,27.945,,,,,,,,,,,,,,0.009999999999999787,18
200m,T47,W,,,25.085,25.53333333333333,,,25.06,25.2225,25.7725,26.24,,27.54,,,,,,,,,,,0.054999999999999716,39
200m,T36,W,,,28.153333333333336,30.526666666666667,31.72,,,26.68,29.535,,,,,,,,,,,,,,0.1200000000000001,28
200m,T38,W,,,,,,,,25.89,29.26,,,26.78,,,,,,,,,,,0.03500000000000014,5
200m,T46,W,,,25.61,27.05,26.66,,25.22,25.48,25.37,,,29.5,,,,,,,,,,,53.83,18
200m,T45,W,,,25.453333333333333,25.9125,26.66,,,25.560000000000002,25.910000000000004,26.24,,29.5,,,,,,,,,,,0.054999999999999716,45
200m,T43,W,,,26.36,,,,,25.73,27.7,,,,,,,,,,,,,,0.26500000000000057,9
200m,T35,W,,,28.15,30.01,,,,30.569999999999997,32.04666666666667,35.08,,38.08,,,,,,,,,,,-0.08499999999999996,25
200m,F46,W,,,,,,,,,25.37,,,25.21,,,,,,,,,,,0.07499999999999929,3
200m,F12,W,,,,,,,,,,,,26.58,,,,,,,,,,,0.29499999999999993,4
200m,F45,W,,,,,,,,,25.37,,,25.21,,,,,,,,,,,-0.13999999999999968,3
Javelin Throw,F55,W,,,24.99,22.35,17.36,,,24.22,22.68,16.34,,,,,,13.75,Nadha Alhumaydani,,-11.239999999999998,-8.600000000000001,-3.6099999999999994,,0.19500000000000028,29
Javelin Throw,F34,W,,,22.55,17.65,,,,19.61,18.97,14.26,,,,,,12.08,Sarah Aljumaah,,-10.47,-5.5699999999999985,,,-0.08999999999999986,22
Javelin Throw,F33,W,,,22.55,,15.34,,,21.22,14.96,14.84,,,,,,6.85,Alhanuf Abuhaimd,,-15.700000000000001,,-8.49,,0.46999999999999975,20
Javelin Throw,F46,W,,,42.29,40.59,36.62,,,40.89,38.41,29.96,,,,,,,,,,,,,0.07499999999999929,16
Javelin Throw,F54,W,,,21.12,16.24,17.36,,,18.895,16.61,,,,,,,,,,,,,,-0.11000000000000032,23
Javelin Throw,F56,W,,,,,,,,24.22,,16.22,,,,,,13.75,Nadha Alhumaydani,,,,,,-0.2549999999999999,18
Javelin Throw,F12,W,,,,37.22,29.63,,,44.86,34.72,30.52,,,,,,,,,,,,,0.29499999999999993,18
Javelin Throw,F45,W,,,,,,,,,,29.96,,,,,,,,,,,,,-0.13999999999999968,8
Javelin Throw,F52,W,,,21.12,16.24,,,,20.73,16.61,,,,,,,,,,,,,,0.21499999999999986,11
Javelin Throw,F53,W,,,21.12,16.24,,,,20.73,16.61,,,,,,,4.24,Zahra Al Tala,,-16.880000000000003,-11.999999999999998,,,0.28000000000000025,10
Javelin Throw,F13,W,,,43.585,,29.63,,,,34.72,,,,,,,,,,,,,,-0.7050000000000001,9
Discus Throw,F57,W,,,35.55,32.75,29.17,,,34.54,,,,,,,,15.18,Nadha Alhumaydani,,-20.369999999999997,-17.57,-13.990000000000002,,0.6600000000000001,28
Discus Throw,F55,W,,,31.125,29.28,25.33,,,26.88,25.41,19.45,,,,,,14.51,Nadha Alhumaydani,,-16.615000000000002,-14.770000000000001,-10.819999999999999,,0.19500000000000028,40
Discus Throw,F37,W,,,,,33.01,,,37.39,37.69,31.41,,,,,,10.06,Amal Alahmari,,,,-22.949999999999996,,0.7400000000000002,20
Discus Throw,F40,W,,,36.55,30.89,,,,37.34,28.87,23.01,,,,,,,,,,,,,0.10500000000000043,22
Discus Throw,F54,W,,,26.7,25.81,21.49,,,26.88,25.8,19.36,,,,,,,,,,,,,-0.11000000000000032,17
Discus Throw,F41,W,,,36.55,30.89,27.37,,,35.575,28.85,,,,,,,,,,,,,,0.17499999999999982,26
Discus Throw,F56,W,,,,,,,,,,18.98,,,,,,19.92,Nadha Alhumaydani,,,,,,-0.2549999999999999,15
Discus Throw,F51,W,,,17.37,14.17,,,,17.22,12.885,,,,,,,,,,,,,,-0.28000000000000025,12
Discus Throw,F42,W,,,,40.01,,,,,38.72,25.97,,,,,,,,,,,,,0.33000000000000007,8
Discus Throw,F44,W,,,,40.01,33.32,,,43.09,38.72,25.97,,,,,,,,,,,,,-0.015000000000000568,19
Discus Throw,F11,W,,,,37.67,26.08,,,,36.84,19.72,,,,,,,,,,,,,-0.03500000000000014,13
Discus Throw,F52,W,,,17.37,,,,,17.22,,,,,,,,,,,,,,,0.21499999999999986,4
Discus Throw,F53,W,,,17.37,,10.02,,,17.285,,,,,,,,3.1,Zahra Al Tala,,-14.270000000000001,,-6.92,,0.28000000000000025,8
Discus Throw,F38,W,,,38.7,,,,,38.105000000000004,,,,,,,,,,,,,,,-1.0599999999999987,12
Discus Throw,F64,W,,,,,,,,,,,,,,,,,,,,,,,-1.0700000000000003,3
Discus Throw,F43,W,,,,,,,,,,25.97,,,,,,,,,,,,,1.5350000000000001,7
Club Throw,F32,W,,,29.0,26.01,20.69,,,26.576666666666668,24.180000000000003,21.08,,,,,,10.22,Amal Alshehri,,-18.78,-15.790000000000001,-10.47,,0.75,45
Club Throw,F51,W,,,,,,,,22.075000000000003,15.65,,,,,,,,,,,,,,-0.28000000000000025,9
Club Throw,F31,W,,,29.0,26.01,20.69,,,26.66,24.35,16.675,,,,,,,,,,,,,-2.885,23
