event,classification,gender,world_record,world_record_display,paralympics_gold,paralympics_bronze,paralympics_8th_place,paralympics_semi_qualifying,paralympics_heat_qualifying,wc_gold,wc_bronze,wc_8th_place,wc_semi_qualifying,wc_heat_qualifying,asian_gold,asian_bronze,asian_8th_place,saudi_best,saudi_best_athlete,saudi_world_rank,gap_to_para_gold,gap_to_para_bronze,gap_to_para_8th,gap_to_world_record,yearly_trend,total_results
400m,T34,M,,,,,,,,49.05142857142857,51.285000000000004,51.01,,54.62,,,,67.42,Ahmed Alalwani,,,,,,0.09999999999999964,31
400m,T47,M,,,48.306666666666665,48.95,56.17,,49.95,48.19799999999999,49.38666666666666,,,50.66,,,,,,,,,,,0.054999999999999716,34
400m,T36,M,,,51.54,53.6,,,,54.089999999999996,55.287499999999994,58.77,,57.89,,,,,,,,,,,0.1200000000000001,29
400m,T20,M,,,48.260000000000005,48.72,49.04,,48.91,47.91833333333333,48.31333333333333,50.739999999999995,,52.18,,,,48.26,Idris Ayil Al-Soufiani,,-7.105427357601002e-15,-0.46000000000000085,-0.7800000000000011,,-0.15000000000000213,50
400m,T38,M,,,50.040000000000006,,59.28,,,50.44,51.24,,,55.09,,,,58.21,Saud Alwani,,8.169999999999995,,-1.0700000000000003,,0.03500000000000014,20
400m,T46,M,,,48.79,48.96,49.99,,,,49.59,50.94,,50.95,,,,51.51,Mazen Aldosari,,2.719999999999999,2.549999999999997,1.519999999999996,,53.83,16
400m,T51,M,,,55.873333333333335,,,,,53.6625,53.41,,,57.38,,,,,,,,,,,-0.4150000000000009,44
400m,T45,M,,,,49.485,,,50.01,,50.06,50.94,,51.91,,,,,,,,,,,0.054999999999999716,14
400m,T43,M,,,47.28,47.50333333333333,,,48.9,47.49,46.775,46.19,,45.39,,,,,,,,,,,0.26500000000000057,24
400m,T52,M,,,55.873333333333335,,,,,55.57666666666666,59.66,,,58.33,,,,,,,,,,,0.05999999999999872,61
400m,T35,M,,,,,,,,,51.19,,,,,,,,,,,,,,-0.08499999999999996,8
400m,T33,M,,,,,,,,51.1,55.75,,,,,,,,,,,,,,0.004999999999999005,8
400m,T62,M,,,46.36,46.91,52.91,,,46.44,52.605,,,,,,,,,,,,,,0.07500000000000018,20
400m,T72,M,,,,,,,,59.69,,,,59.47,,,,,,,,,,,0.07000000000000028,17
400m,IPC,M,,,,,,,,,,51.01,,50.09,,,,,,,,,,,,3
Shot Put,F57,M,,,15.96,14.65,12.95,,,15.256666666666668,14.17,12.283333333333331,,,,,,14.51,Haidr Salamh,,-1.450000000000001,-0.14000000000000057,1.5600000000000005,,0.6600000000000001,41
Shot Put,F55,M,,,12.4,11.81,11.68,,,12.489999999999998,11.719999999999999,10.836666666666666,,,,,,6.17,Mohammed Muhawish,,-6.23,-5.640000000000001,-5.51,,0.19500000000000028,32
Shot Put,F32,M,,,11.93,9.84,8.56,,,10.5,9.54,7.62,,,,,,5.71,Ali Alsaqer,,-6.22,-4.13,-2.8500000000000005,,0.75,27
Shot Put,F37,M,,,16.37,15.24,13.35,,,16.44333333333333,15.6,13.46,,,,,,10.37,Mutaz Saud,,-6.000000000000002,-4.870000000000001,-2.9800000000000004,,0.7400000000000002,35
Shot Put,F34,M,,,11.71,11.66,10.34,,,11.540000000000001,11.063333333333333,10.425,,,,,,8.98,Khalid Alahmari,,-2.7300000000000004,-2.6799999999999997,-1.3599999999999994,,-0.08999999999999986,45
Shot Put,F40,M,,,11.21,11.03,9.9,,,11.64,10.84,9.665,,,,,,7.51,Hussain Miqtafi,,-3.700000000000001,-3.5199999999999996,-2.3900000000000006,,0.10500000000000043,32
Shot Put,F33,M,,,12.24,10.55,,,,12.04,11.055,,,,,,,10.83,Hani Alnakhli,,-1.4100000000000001,0.27999999999999936,,,0.46999999999999975,34
Shot Put,F46,M,,,16.38,16.27,14.21,,,16.490000000000002,15.934999999999999,14.43,,,,,,11.09,Mohammed Rizq Allah,,-5.289999999999999,-5.18,-3.120000000000001,,0.07499999999999929,33
Shot Put,F54,M,,,12.4,,10.41,,,12.04,11.42,9.48,,,,,,6.0,Saleh Alanazi,,-6.4,,-4.41,,-0.11000000000000032,17
Shot Put,F41,M,,,14.32,11.66,,,,13.785,11.675,9.79,,,,,,8.67,Rakan Alqahtani,,-5.65,-2.99,,,0.17499999999999982,25
Shot Put,F56,M,,,15.96,14.65,12.95,,,15.83,14.74,11.99,,,,,,12.36,Haidr Salamh,,-3.6000000000000014,-2.290000000000001,-0.5899999999999999,,-0.2549999999999999,18
Shot Put,F31,M,,,11.93,,8.56,,,11.04,9.52,,,,,,,,,,,,,,-2.885,15
Shot Put,F42,M,,,15.31,,12.56,,,16.02,14.615,12.92,,,,,,11.01,Ali Albishi,,-4.300000000000001,,-1.5500000000000007,,0.33000000000000007,24
Shot Put,F12,M,,,16.740000000000002,,12.92,,,15.22,14.56,,,,,,,10.69,Osamah Alshanqiti,,-6.0500000000000025,,-2.2300000000000004,,0.29499999999999993,14
Shot Put,F11,M,,,14.78,13.38,6.46,,,14.61,13.28,10.92,,,,,,9.97,Ziyad Alkhurayb,,-4.809999999999999,-3.41,3.5100000000000007,,-0.03500000000000014,19
Shot Put,F45,M,,,16.38,16.27,14.21,,,16.3,16.04,14.62,,,,,,11.09,Mohammed Rizq Allah,,-5.289999999999999,-5.18,-3.120000000000001,,-0.13999999999999968,24
Shot Put,F53,M,,,9.66,8.69,,,,8.73,8.280000000000001,,,,,,,,,,,,,,0.28000000000000025,21
Shot Put,F38,M,,,15.31,,,,,18.740000000000002,18.84,,,,,,,,,,,,,,-1.0599999999999987,15
Shot Put,F20,M,,,16.84,16.246666666666666,14.05,,,,15.8,12.15,,,,17.206666666666667,,,,,,,,,0.16499999999999915,21
Shot Put,F35,M,,,16.82,15.84,9.62,,,16.770000000000003,15.595,9.23,,,,,,,,,,,,,0.34999999999999964,25
Shot Put,F36,M,,,17.18,16.0,,,,16.67,16.384999999999998,11.920000000000002,,,,,,5.24,Sulaiman Alshuhail,,-11.94,-10.76,,,0.019999999999999574,23
Shot Put,F63,M,,,,14.97,12.56,,,,,12.29,,,,,,,,,,,,,1.005,5
Long Jump,T12,M,,,7.07,6.983333333333333,,,,7.01,6.96,5.99,,,,,,6.42,Osamah Alshanqiti,,-0.6500000000000004,-0.5633333333333335,,,-0.0600000000000005,26
Long Jump,T11,M,,,6.85,6.32,,,,6.62,6.48,,,,,,,,,,,,,,0.08999999999999986,11
Long Jump,T13,M,,,,7.0649999999999995,5.98,,,7.085,6.755,5.720000000000001,,,,,,,,,,,,,-0.20500000000000007,28
Long Jump,T64,M,,,8.155000000000001,7.285,,,,8.406666666666666,7.446666666666666,,,,,,,,,,,,,,0.009999999999999787,28
Long Jump,T37,M,,,6.42,6.2,5.71,,,6.13,6.01,4.7,,,,,,4.68,Ali Alnakhli,,-1.7400000000000002,-1.5200000000000005,-1.0300000000000002,,0.004999999999999893,17
Long Jump,T44,M,,,8.21,7.13,6.63,,,6.98,6.46,5.9,,,,,,4.81,Nour Alsana,,-3.4000000000000012,-2.3200000000000003,-1.8200000000000003,,0.009999999999999787,19
Long Jump,T47,M,,,,7.08,,,,,7.05,,,,,,,,,,,,,,0.054999999999999716,12
Long Jump,T36,M,,,5.83,5.76,5.58,,,5.89,5.75,5.33,,,,,,,,,,,,,0.1200000000000001,21
Long Jump,T20,M,,,7.6,6.99,6.92,,,7.3,6.84,6.425000000000001,,,,,,7.61,Hassan Nasser Darweesh,,0.010000000000000675,0.6200000000000001,0.6900000000000004,,-0.15000000000000213,27
Long Jump,T38,M,,,6.52,6.4,5.77,,,6.66,6.42,,,,,,,,,,,,,,0.03500000000000014,17
Long Jump,T46,M,,,7.426666666666667,,,,,7.615,7.25,6.8,,,,,,,,,,,,,53.83,24
Long Jump,T45,M,,,,,,,,,,,,,,,,,,,,,,,0.054999999999999716,15
Long Jump,T43,M,,,8.13,,,,,8.3,7.35,6.5,,,,,,4.81,Nour Alsana,,-3.320000000000001,,,,0.26500000000000057,19
Long Jump,T35,M,,,6.52,6.4,5.77,,,6.66,6.42,5.82,,,,,,,,,,,,,-0.08499999999999996,18
Long Jump,F37,M,,,,6.4,,,,,,5.82,,,,,,,,,,,,,0.7400000000000002,5
Long Jump,T63,M,,,7.68,7.01,,,,7.395,6.923333333333333,6.1899999999999995,,,,,,4.32,Ali Alnasser,,-3.3599999999999994,-2.6899999999999995,,,0.01499999999999968,27
Long Jump,T62,M,,,,,,,,,,,,,,,,,,,,,,,0.07500000000000018,6
Long Jump,T42,M,,,7.68,7.01,,,,7.22,6.65,6.03,,,,,,4.5,Abdullah Alfifi,,-3.1799999999999997,-2.51,,,-0.23499999999999943,19
Long Jump,F38,M,,,,6.4,,,,,,5.82,,,,,,,,,,,,,-1.0599999999999987,3
200m,T64,M,,,21.86,23.005,,,22.18,22.470000000000002,22.998333333333335,23.94,,24.45,,,,29.56,Abdulaziz Alshamani,,7.699999999999999,6.555,,,0.009999999999999787,60
200m,T37,M,,,22.852500000000003,23.263333333333332,23.91,,22.26,23.416666666666668,23.88,,,25.25,,,,23.29,Ali Alnakhli,,0.43749999999999645,0.026666666666667282,-0.620000000000001,,0.004999999999999893,44
200m,T44,M,,,22.176666666666666,22.876666666666665,,,,23.161666666666665,23.596666666666668,,,25.23,,,,22.66,Naif Almasrahi,,0.4833333333333343,-0.216666666666665,,,0.009999999999999787,54
200m,T51,M,,,37.64,38.65,,,,37.295,40.94,,,,,,,,,,,,,,-0.4150000000000009,17
200m,T43,M,,,21.735,21.963333333333335,,,22.14,,,,,,,,,24.03,Nour Alsana,,2.2950000000000017,2.0666666666666664,,,0.26500000000000057,14
200m,T35,M,,,23.19,23.88,26.02,,,23.39,23.81,24.71,,27.21,,,,30.39,Ahmed Adawi,,7.199999999999999,6.510000000000002,4.370000000000001,,-0.08499999999999996,16
200m,T62,M,,,21.805,22.81,,,,22.973333333333333,23.38,,,23.41,,,,,,,,,,,0.07500000000000018,17
Javelin Throw,T64,M,,,,,,,,,47.14,47.24,,,,,,,,,,,,,0.009999999999999787,5
